"ID da resposta","Data de submissão","Última página","Idioma inicial","Semente","Data de início","Data da última acção","Introduza o seu ID de participante.  Chave para ID: Última letra do teu primeiro nome + Última letra do primeiro nome da tua mãe + mês de aniversário  Exemplo: João, Maria, Setembro = oa09 ","Escolha o ID da sessão","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","Quando o investigador indicar clique no botão ""Iniciar"".   Durante a improvisação poderá usar o botão ""Marcar"" para assinalar momentos relevantes.  No fim da improvisação clique no botão ""Terminar"".     MARCAR    Iniciar  Terminar       []","{((gravarsessao_fim-gravarsessao_inicio) / 1000)} ","Durante a sessão marcou {gravarsessao_count.shown} momentos.     Use o campo seguinte para descrever brevemente o que foi relevante em cada momento.  ","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 1]","Por favor estime a duração desta improvisação. [minutos] [segundos] [][Escala 2]","Durante esta improvisação...\ 												'); 			});	 		}); 	}    [quão lento/rápido passou o tempo?]","Quão fácil/difícil foi a execução da tarefa pedida?\ 												'); 			});	 		}); 	}    []","Quão aborrecida/interessante foi esta tarefa?\ 												'); 			});	 		}); 	}    []","Quão distraído(a) / concentrado(a) esteve nesta tarefa?\ 												'); 			});	 		}); 	}    []","Quão familiar era esta tarefa?\ 												'); 			});	 		}); 	}    []","Estive focado na performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para elementos da sala que não tinham relação com a performance musical.\ 												'); 			});	 		}); 	}    []","A minha atenção desviou-se para pensamentos não diretamente relacionados com a performance musical. \ 												'); 			});	 		}); 	}    []","Houve momentos em que a minha mente estava “em branco” ou sem qualquer tipo de pensamento ativo. \ 												'); 			});	 		}); 	}    []","Tive pensamentos ou preocupações relacionadas com aspetos secundários e interferentes da performance musical. \ 												'); 			});	 		}); 	}    []","Indique, por favor, qual dos seguintes estados mentais foi mais predominante neste take:"
"267","2025-10-10 12:27:16","5","pt","134284412","2025-10-10 12:25:09","2025-10-10 12:27:16","PJ2Bass2","Solo - C - Livre",,,,,"NAN",,"2 minutos","0 segundos","2.4","2.9","4.3","3.9","3.5","3.7","2.2","1.9","3.3","1.8","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"268","2025-10-10 12:33:49","5","pt","1946235373","2025-10-10 12:31:20","2025-10-10 12:33:49","OA09","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","39 segundos","4.1","4","2.2","1","2.9","1.5","3","4.3","4.4","4.5","A minha mente esteve “em branco” ou sem qualquer tipo de pensamento ativo."
"269","2025-10-10 12:34:19","5","pt","1432945544","2025-10-10 12:32:41","2025-10-10 12:34:19","PJ2Bass2","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","15 segundos","2.4","3.2","4.2","4.6","3.6","4.6","1.5","1.5","1.6","2.2","Estive focado na performance musical."
"270","2025-10-10 12:40:37","5","pt","356653483","2025-10-10 12:38:20","2025-10-10 12:40:37","OA09","Solo - C - Livre",,,,,"NAN",,"4 minutos","6 segundos","3","2.5","4.8","4.1","4.2","4","1.5","3","1.5","3.1","Estive focado na performance musical."
"271","2025-10-10 12:50:31","5","pt","1889151704","2025-10-10 12:47:19","2025-10-10 12:50:31","OA09","Grupo - B - Não familiar",,,,,"NAN",,"4 minutos","6 segundos","3","3","1.6","3","3.8","3.6","3.8","3.9","2.9","3.1","Estive focado na performance musical."
"272","2025-10-10 12:53:25","5","pt","1900089673","2025-10-10 12:47:22","2025-10-10 12:53:25","João PJ2 drums2","Solo - B - Não familiar",,,,,"NAN",,"2 minutos","12 segundos","3.9","4","3.7","2.5","4.2","3.7","1.3","2.3","3.2","2.7","Estive focado em aspetos secundários e interferentes da performance musical."
"273","2025-10-10 12:49:13","5","pt","295380064","2025-10-10 12:47:38","2025-10-10 12:49:13","PJ2Bass2","Grupo - B - Não familiar",,,,,"NAN",,"1 minutos","30 segundos","4.9","3.9","4.2","4.2","3.6","4.1","1","1","1","3.2","Estive focado na performance musical."
"274","2025-10-10 12:53:33","5","pt","17977687","2025-10-10 12:47:38","2025-10-10 12:53:33","PJ2melody2","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","10 segundos","2.4","2.6","2.1","3.5","2.1","3.7","1.5","1.4","1.8","2.1","Estive focado na performance musical."
"275","2025-10-10 13:00:32","5","pt","1909806003","2025-10-10 12:57:58","2025-10-10 13:00:32","PJ2 drums2","Grupo - C - Livre",,,,,"NAN",,"4 minutos","4 segundos","2","2","4.2","3.6","4.2","4.3","2.3","2.5","1.9","3.5","Estive focado na performance musical."
"276","2025-10-10 13:00:41","5","pt","1182059276","2025-10-10 12:57:58","2025-10-10 13:00:41","PJ2Bass2","Grupo - C - Livre",,,,,"NAN",,"4 minutos","0 segundos","2.4","2.6","3.8","2.5","3.7","3.9","3.1","3.9","4","3.9","Estive focado na performance musical."
"277","2025-10-10 12:59:56","5","pt","993110517","2025-10-10 12:57:58","2025-10-10 12:59:56","OA09","Grupo - C - Livre",,,,,"NAN",,"5 minutos","6 segundos","3.1","3.1","4.1","3.1","4.3","3.8","3","3","1.5","2.9","Estive focado na performance musical."
"278","2025-10-10 13:02:54","5","pt","522382549","2025-10-10 12:58:01","2025-10-10 13:02:54","PJ2melody2 ","Grupo - C - Livre",,,,,"NAN",,"4 minutos","43 segundos","2.4","1","4","4.2","3.6","3.9","1.2","4","2.8","1.3","Estive focado na performance musical."
"279","2025-10-10 13:11:04","5","pt","1883821624","2025-10-10 13:06:46","2025-10-10 13:11:04","OA09","Grupo - A - Familiar",,,,,"NAN",,"5 minutos","7 segundos","3","3.6","1.3","1.8","3.9","2.9","4.1","1.7","3","2.9","Estive focado em aspetos secundários e interferentes da performance musical."
"280","2025-10-10 13:11:16","5","pt","901288965","2025-10-10 13:07:02","2025-10-10 13:11:16","PJ2 drums2","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","48 segundos","2.2","3.2","2.6","2","3.4","3.5","3","2.8","2.5","3.2","Estive focado na performance musical."
"281","2025-10-10 13:09:17","5","pt","1722656889","2025-10-10 13:07:13","2025-10-10 13:09:17","PJ2Bass2","Grupo - A - Familiar",,,,,"NAN",,"4 minutos","30 segundos","3.1","2.2","3.8","2.1","4.3","4.1","1.9","1.8","1","1.9","Estive focado na performance musical."
"282","2025-10-10 13:11:14","5","pt","332710441","2025-10-10 13:07:20","2025-10-10 13:11:14","PJ2melody2 ","Grupo - A - Familiar",,,,,"NAN",,"5 minutos","20 segundos","2.4","2.3","3.7","3.8","4","4","1","1.9","1.4","3.5","Estive focado na performance musical."
"283","2025-10-10 13:19:31","5","pt","1365412721","2025-10-10 13:17:11","2025-10-10 13:19:31","PJ drums2","Solo - A - Familiar",,,,,"NAN",,"3 minutos","26 segundos","3.8","4.1","3.5","1.7","3.8","2.7","1.4","4.3","3.8","4.2","Estive focado em aspetos secundários e interferentes da performance musical."
"284","2025-10-10 13:21:05","5","pt","2034335255","2025-10-10 13:18:31","2025-10-10 13:21:05","PJ2MELODY2 ","Grupo - B - Não familiar",,,,,"NAN",,"3 minutos","56 segundos","2.9","3.7","3.6","4.3","1.3","4","1.3","1.3","1.2","1.3","Estive focado na performance musical."
"285","2025-10-10 13:24:12","5","pt","2052957668","2025-10-10 13:22:12","2025-10-10 13:24:12","PJ2 drums2","Solo - C - Livre",,,,,"NAN",,"2 minutos","57 segundos","3.7","2.9","4.6","4.3","3.8","4","3.3","3.4","1","2.7","Estive focado na performance musical."
"286","2025-10-10 13:28:13","5","pt","267888220","2025-10-10 13:25:17","2025-10-10 13:28:13","PJ2melody2 ","Solo - A - Familiar",,,,,"NAN",,"3 minutos","42 segundos","3.1","4.1","4.4","4.6","1.9","4.7","1.5","1.4","1.3","1.2","Estive focado na performance musical."
"287","2025-10-10 13:30:07","5","pt","1645178018","2025-10-10 13:28:24","2025-10-10 13:30:07","PJ drums2 ","Solo - B - Não familiar",,,,,"NAN",,"3 minutos","37 segundos","2.1","4.1","1.7","1.9","4.1","1.6","3.1","3.4","4","4.5","Estive focado em elementos físicos da sala que não tinham relação com a performance musical."
"288","2025-10-10 13:33:38","5","pt","1776820249","2025-10-10 13:31:07","2025-10-10 13:33:38","PJ2melody2 ","Solo - C - Livre",,,,,"NAN",,"3 minutos","43 segundos","2.6","3.2","3.7","3.9","2.3","4.1","1.8","2.4","2.4","1.3","Estive focado na performance musical."
